from,to,from_alt,to_alt,playername,transfersumme,weight,transfertype,season,year,transferfenster,ligaintern,transferid
S04,AUT1,FC Schalke 04,Red Bull Salzburg,Kilian Ludewig,99,1,2,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/361516/transfer_id/3088691
S04,B04,FC Schalke 04,Bayer 04 Leverkusen,Tranquillo Barnetta,0,1,1,1213,2012,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/6645/transfer_id/720042
S04,B04,FC Schalke 04,Bayer 04 Leverkusen,Andrejs Ciganiks,0,1,1,1718,2017,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/202659/transfer_id/1778662
S04,B04,FC Schalke 04,Bayer 04 Leverkusen,Hans Sarpei,400.000,2,1,1011,2010,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/707/transfer_id/472549
S04,B04,FC Schalke 04,Bayer 04 Leverkusen,Sidney Sam,2.500.000,5,1,1415,2014,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/39102/transfer_id/995412
S04,BMG,FC Schalke 04,Borussia Moenchengladbach,Roman Neustaedter,0,1,1,1213,2012,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/40478/transfer_id/669714
S04,BRE,FC Schalke 04,SV Werder Bremen,Franco Di Santo,6000000,6,1,1516,2015,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/59783/transfer_id/1299999
S04,BSC,FC Schalke 04,Hertha BSC,Vedad Ibisevic,0,1,1,2021,2020,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/21175/transfer_id/2958345
S04,BVB,FC Schalke 04,Borussia Dortmund,Felipe Santana,1.000.000,4,1,1314,2013,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/54312/transfer_id/875513
S04,ENG1,FC Schalke 04,Tottenham Hotspur,Nabil Bentaleb,0,1,2,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/245537/transfer_id/1580481
S04,ENG1,FC Schalke 04,FC Arsenal,Shkodran Mustafi,0,1,1,2021,2021,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/88590/transfer_id/3233701
S04,ENG1,FC Schalke 04,Manchester City,Matija Nastasic,99,1,2,1415,2015,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/143559/transfer_id/1173058
S04,ENG1,FC Schalke 04,FC Chelsea,Abdul Rahman Baba,99,1,2,1718,2018,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/224884/transfer_id/2019161
S04,ENG1,FC Schalke 04,FC Everton,Jonjoe Kenny,99,1,2,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/258883/transfer_id/2503517
S04,ENG1,FC Schalke 04,FC Arsenal,Sead Kolasinac,99,1,2,2021,2021,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/94005/transfer_id/3186488
S04,ENG1,FC Schalke 04,FC Chelsea,Abdul Rahman Baba,500.000,3,2,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/224884/transfer_id/1556713
S04,ENG1,FC Schalke 04,Manchester City,Rabbi Matondo,9000000,6,1,1819,2019,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/404384/transfer_id/2387520
S04,ENG1,FC Schalke 04,Manchester City,Matija Nastasic,9500000,6,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/143559/transfer_id/1210835
S04,ENG1,FC Schalke 04,Tottenham Hotspur,Nabil Bentaleb,19.000.000,7,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/245537/transfer_id/1712809
S04,ESP1,FC Schalke 04,Real Madrid,Raul,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/123/transfer_id/414024
S04,ESP1,FC Schalke 04,Real Madrid,Christoph Metzelder,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/123/transfer_id/4140244
S04,ESP1,FC Schalke 04,FC Sevilla,Yevgen Konoplyanka,0,1,2,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/58949/transfer_id/1586912
S04,ESP1,FC Schalke 04,FC Barcelona,Juan Miranda,99,1,2,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/341227/transfer_id/2628095
S04,ESP1,FC Schalke 04,FC Barcelona,Ibrahim Affelay,500000,3,2,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/15760/transfer_id/777709
S04,ESP1,FC Schalke 04,FC Barcelona,Jean Clair Todibo,1500000,5,2,1920,2020,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/605184/transfer_id/2759732
S04,ESP1,FC Schalke 04,Deportivo La Coruna,Pablo Insua,3.500.000,5,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/171362/transfer_id/1815018
S04,ESP1,FC Schalke 04,FC Sevilla,Coke,4.000.000,6,1,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/71905/transfer_id/1555416
S04,ESP1,FC Schalke 04,Real Madrid,Omar Mascarell,10000000,6,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/142031/transfer_id/2151819
